method,seed,stress_level,robust_success,failure_macro_f1,rare_failure_recall,tail_risk,calibration_error,safety_violation_rate
failure_stratified_engine,2,0.80,0.00000,0.48463,0.59179,1.00000,0.07858,0.90000
failure_stratified_engine_v5,2,0.80,0.00000,0.47875,0.57704,1.00000,0.13695,0.90000
oracle_failure_strata,2,0.80,0.00000,0.52207,0.73334,1.00000,0.05819,0.90000
uncertainty_sampling,3,0.80,0.00000,0.43251,0.62343,1.00000,0.09104,0.70000
failure_prediction_active_learning,3,0.80,0.00000,0.43774,0.61946,1.00000,0.10313,0.70000
calibrated_failure_risk,3,0.80,0.00000,0.44287,0.62552,1.00000,0.10324,0.70000
hybrid_diversity_risk,3,0.80,0.00000,0.41507,0.56728,1.00000,0.19219,0.70000
failure_stratified_engine,3,0.80,0.00000,0.43843,0.63517,1.00000,0.08596,0.70000
failure_stratified_engine_v5,3,0.80,0.00000,0.44241,0.64729,1.00000,0.14746,0.70000
oracle_failure_strata,3,0.80,0.00000,0.49636,0.87538,1.00000,0.05025,0.70000
uncertainty_sampling,4,0.80,0.00000,0.46125,0.50144,1.00000,0.09012,0.70000
failure_prediction_active_learning,4,0.80,0.00000,0.33611,0.27051,1.00000,0.15559,0.70000
calibrated_failure_risk,4,0.80,0.00000,0.32369,0.26138,1.00000,0.15446,0.70000
hybrid_diversity_risk,4,0.80,0.00000,0.36636,0.40000,1.00000,0.16848,0.70000
failure_stratified_engine,4,0.80,0.00000,0.51077,0.62821,1.00000,0.07835,0.70000
failure_stratified_engine_v5,4,0.80,0.00000,0.46711,0.52051,1.00000,0.12777,0.70000
oracle_failure_strata,4,0.80,0.00000,0.52945,0.73333,1.00000,0.08224,0.70000
uncertainty_sampling,5,0.80,0.00000,0.53162,0.75948,1.00000,0.18252,0.40000
failure_prediction_active_learning,5,0.80,0.00000,0.47727,0.64810,1.00000,0.19656,0.40000
calibrated_failure_risk,5,0.80,0.00000,0.46733,0.63917,1.00000,0.19369,0.40000
hybrid_diversity_risk,5,0.80,0.00000,0.50771,0.62725,1.00000,0.28290,0.40000
failure_stratified_engine,5,0.80,0.00000,0.55288,0.77428,1.00000,0.17519,1.00000
failure_stratified_engine_v5,5,0.80,0.00000,0.53967,0.79721,1.00000,0.20578,1.00000
oracle_failure_strata,5,0.80,0.00000,0.54747,0.74483,1.00000,0.15812,0.40000
uncertainty_sampling,6,0.80,0.00000,0.47240,0.43628,1.00000,0.08108,0.70000
failure_prediction_active_learning,6,0.80,0.00000,0.46161,0.47788,1.00000,0.09812,0.70000
calibrated_failure_risk,6,0.80,0.00000,0.45638,0.46677,1.00000,0.10872,0.70000
hybrid_diversity_risk,6,0.80,0.00000,0.43109,0.37907,1.00000,0.14730,0.70000
failure_stratified_engine,6,0.80,0.00000,0.46927,0.45835,1.00000,0.06654,0.70000
failure_stratified_engine_v5,6,0.80,0.00000,0.45884,0.44724,1.00000,0.09017,0.70000
oracle_failure_strata,6,0.80,0.00000,0.52191,0.64438,1.00000,0.06157,0.70000
uncertainty_sampling,7,0.80,0.00000,0.44386,0.61818,1.00000,0.15844,0.90000
failure_prediction_active_learning,7,0.80,0.00000,0.49360,0.66858,1.00000,0.13755,0.90000
calibrated_failure_risk,7,0.80,0.00000,0.49191,0.66252,1.00000,0.14809,0.90000
hybrid_diversity_risk,7,0.80,0.00000,0.45538,0.59567,1.00000,0.24325,0.90000
failure_stratified_engine,7,0.80,0.00000,0.46577,0.64242,1.00000,0.14070,0.90000
failure_stratified_engine_v5,7,0.80,0.00000,0.44235,0.61818,1.00000,0.21037,0.90000
oracle_failure_strata,7,0.80,0.00000,0.48311,0.70303,1.00000,0.11571,0.90000
uncertainty_sampling,0,1.00,0.00000,0.49317,0.88333,1.00000,0.01738,0.60000
failure_prediction_active_learning,0,1.00,0.00000,0.47969,0.78333,1.00000,0.01307,0.60000
calibrated_failure_risk,0,1.00,0.00000,0.48010,0.78333,1.00000,0.01301,0.60000
hybrid_diversity_risk,0,1.00,0.00000,0.48497,0.83333,1.00000,0.03942,0.60000
failure_stratified_engine,0,1.00,0.00000,0.48927,0.91667,1.00000,0.00758,0.60000
failure_stratified_engine_v5,0,1.00,0.00000,0.49293,0.91667,1.00000,0.02805,0.60000
oracle_failure_strata,0,1.00,0.00000,0.49033,0.90000,1.00000,0.00808,0.60000
uncertainty_sampling,1,1.00,0.00000,0.51743,0.85333,1.00000,0.00580,0.60000
failure_prediction_active_learning,1,1.00,0.00000,0.51403,0.96000,1.00000,0.00422,0.60000
